Rodada,ID,Nome,Clube,Posição,Mandante_Visitante,Pontuação,FD,FS,CA,FC,DS,FF,SG,A,G,I,DE,GS,V,PC,DP,CV,FT,PP,PS,GC
25,111760,Fabinho,RBB,Meia,mandante,-1.3,,,1.0,1.0,,,,,,,,,,,,,,,,
25,111829,Kayky,BAH,Atacante,mandante,5.9,1.0,1.0,,1.0,3.0,,,,,,,,,,,,,,,
25,111831,Matheus Martins,BOT,Atacante,visitante,-0.8,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
25,111832,Jefté,PAL,Lateral,visitante,-0.3,,,,1.0,,,,,,,,,,,,,,,,
25,111951,Renzo López,VIT,Atacante,visitante,-0.3,,,,1.0,,,,,,,,,,,,,,,,
25,112616,Gabriel Grando,GRE,Goleiro,mandante,2.9,,,,,,,,,,,3.0,1.0,,,,,,,,
25,112709,Kaiki Bruno,CRU,Lateral,visitante,2.7,,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,
25,112863,Ramón Sosa,PAL,Atacante,visitante,0.0,,,,,,,,,,,,,,,,,,,,
25,112869,Aníbal Moreno,PAL,Meia,visitante,5.7,1.0,2.0,,1.0,2.0,1.0,,,,,,,,,,,,,,
25,112886,Lucas Barbosa,RBB,Atacante,mandante,17.2,,1.0,,1.0,6.0,,,,1.0,,,,,,,,,,,
25,112906,Sforza,JUV,Meia,mandante,0.0,,,,,,,,,,,,,,,,,,,,
25,113034,Freytes,FLU,Zagueiro,mandante,7.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,
25,113078,Mancuso,FOR,Lateral,mandante,10.0,1.0,,1.0,3.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,
25,113103,Flaco López,PAL,Atacante,visitante,4.8,1.0,2.0,1.0,3.0,2.0,2.0,,,,1.0,,,,,,,,,,
25,113157,Nathan Mendes,RBB,Lateral,mandante,1.0,,2.0,,,,,,,,,,,,,,,,,,
25,113158,Marquinhos,CRU,Atacante,visitante,0.8,,,,,,1.0,,,,,,,,,,,,,,
25,114400,Brahimi,SAN,Atacante,visitante,1.2,1.0,,,,,,,,,,,,,,,,,,,
25,114802,Vitor Roque,PAL,Atacante,visitante,1.6,,4.0,,1.0,,,,,,1.0,,,,,,,,,,
25,115100,Matheus França,VAS,Atacante,mandante,2.3,,,,,1.0,1.0,,,,,,,,,,,,,,
25,115248,Jhon Jhon,RBB,Meia,mandante,5.1,,1.0,1.0,3.0,1.0,,,1.0,,,,,,,,,,,,
25,115537,Marcos Victor,CEA,Zagueiro,visitante,5.0,,,,,,,1.0,,,,,,,,,,,,,
25,116065,Cuiabano,BOT,Lateral,visitante,2.2,,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,,
25,116447,Hércules,FLU,Meia,mandante,0.2,,1.0,,1.0,,,,,,,,,,,,,,,,
25,116589,Lucas Gazal,FOR,Zagueiro,mandante,5.5,,1.0,,,,,1.0,,,,,,,,,,,,,
25,116706,Andrés Gómez,VAS,Atacante,mandante,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,
25,117314,Thiago Borbas,RBB,Atacante,mandante,3.5,,1.0,,,2.0,,,,,,,,,,,,,,,
25,117330,Robert Renan,VAS,Zagueiro,mandante,9.7,,1.0,,1.0,3.0,,1.0,,,,,,,,,,,,,
25,117910,Breno Bidon,COR,Meia,mandante,5.2,,3.0,,1.0,2.0,,,,,,,,,,,,,,1.0,
25,118563,Rodriguinho,SAO,Meia,mandante,7.7,1.0,,,1.0,2.0,1.0,,,,,,,,,,,1.0,,,
25,118775,Lautaro Díaz,SAN,Atacante,visitante,14.7,,,,2.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,
25,121792,André,GRE,Atacante,mandante,13.4,1.0,,,1.0,3.0,,,,1.0,,,,,,,,,,,
25,122302,Cristian,MIR,Atacante,visitante,2.1,,,,1.0,,3.0,,,,,,,,,,,,,,
25,122396,Ryan,COR,Meia,mandante,0.0,,,,,,,,,,,,,,,,,,,,
25,122485,Barros,VAS,Meia,mandante,3.4,,,1.0,3.0,3.0,1.0,,,,,,,,,,,,,,
25,122486,Rayan,VAS,Atacante,mandante,14.1,1.0,2.0,,2.0,3.0,,,,1.0,,,,,,,,,,,
25,122781,Caballero,SAN,Atacante,visitante,2.3,,,,,1.0,1.0,,,,,,,,,,,,,,
25,122897,Guzmán Rodríguez,RBB,Zagueiro,mandante,0.2,,1.0,,1.0,,,,,,,,,,,,,,,,
